"YEAR","REGION","OWNERSHP","VACANCY","vac","vac_se","vac_moe"
"2018","3","Vacant","For seasonal, recreational or other occasional use",21347,2145.0968094195982,3528.684251495239
"2018","3","Owned or being bought (loan)","Occupied",1173437,9527.391860465876,15672.559610466365
"2018","3","Rented","Occupied",657339,10387.96248961475,17088.198295416267
"2018","3","Vacant","Other vacant",26607,2321.6639348541785,3819.1371728351237
"2018","3","Vacant","Rented or sold but not (yet) occupied",15923,1981.883400901531,3260.1981944830186
"2018","4","Vacant","For migrant farm workers",350,249.51856631119216,410.4580415819111
"2018","4","Vacant","For rent or sale",1618,493.17749124558514,811.2769730989876
"2018","4","Vacant","For sale only",954,391.91171412279806,644.6947697320028
"2018","4","Vacant","For seasonal, recreational or other occasional use",6402,903.8323650666109,1486.804240534575
"2018","4","Owned or being bought (loan)","Occupied",59914,2464.174341668746,4053.566792045087
"2018","4","Rented","Occupied",24278,1913.1565368059776,3147.142503045833
"2018","4","Vacant","Other vacant",9068,1117.3394164049407,1838.0233399861274
"2018","4","Vacant","Rented or sold but not (yet) occupied",762,306.6984306982015,504.51891849854144
"2019","1","Vacant","For migrant farm workers",169,119.50071329521403,196.5786733706271
"2019","1","Vacant","For rent or sale",3049,830.4695837880073,1366.122465331272
"2019","1","Vacant","For sale only",1602,498.9308112203226,820.7411844574307
"2019","1","Vacant","For seasonal, recreational or other occasional use",13049,1610.8706642004947,2649.882242609814
"2019","1","Owned or being bought (loan)","Occupied",100398,3950.7813803551007,6499.035370684141
"2019","1","Rented","Occupied",39933,2870.081326298797,4721.283781761522
"2019","1","Vacant","Other vacant",6070,1160.5134410846026,1909.0446105841713
"2019","1","Vacant","Rented or sold but not (yet) occupied",179,136.69110423338944,224.85686646392563
"2019","2","Vacant","For migrant farm workers",159,136.31114442865734,224.23183258514132
"2019","2","Vacant","For rent or sale",6073,1094.2115435477656,1799.9779891360745
"2019","2","Vacant","For sale only",3526,941.178737290086,1548.2390228421916
"2019","2","Vacant","For seasonal, recreational or other occasional use",72281,3842.784465408817,6321.380445597504
"2019","2","Owned or being bought (loan)","Occupied",101644,4086.098577017534,6721.632159193843
"2019","2","Rented","Occupied",35341,2822.4749812539358,4642.971344162725
"2019","2","Vacant","Other vacant",6486,1055.650533530313,1736.545127657365
"2019","2","Vacant","Rented or sold but not (yet) occupied",931,503.0786185729219,827.5643275524566
"2019","3","Vacant","For rent or sale",26232,2512.766132335101,4133.500287691241
"2019","3","Vacant","For sale only",10256,1609.8057702447343,2648.130492052588
"2019","3","Vacant","For seasonal, recreational or other occasional use",21122,2199.2438385282258,3617.756114378931
"2019","3","Owned or being bought (loan)","Occupied",1214698,10194.60683063912,16770.128236401353
"2019","3","Rented","Occupied",655422,10645.793449681829,17512.330224726607
"2019","3","Vacant","Other vacant",27024,2547.9103579679804,4191.312538857328
"2019","3","Vacant","Rented or sold but not (yet) occupied",14790,2094.890262511106,3446.0944818307694
"2019","4","Vacant","For migrant farm workers",162,133.15274866974764,219.03627156173488
"2019","4","Vacant","For rent or sale",1865,634.6717231266286,1044.034984543304
"2019","4","Vacant","For sale only",582,223.29415036255782,367.3188773464076
"2019","4","Vacant","For seasonal, recreational or other occasional use",6819,1065.0887587041182,1752.0710080682743
"2019","4","Owned or being bought (loan)","Occupied",61895,2726.8635535385574,4485.690545570927
"2019","4","Rented","Occupied",25788,2079.8716913954922,3421.3889323455846
"2019","4","Vacant","Other vacant",6252,776.4227256163615,1277.2153836389148
"2019","4","Vacant","Rented or sold but not (yet) occupied",312,188.93252296693205,310.79400028060326
